,index,cpu,batch size,start time,end time,avg latency (ms),99th percentile (ms),95th percentile (ms),num queries
116,ivf,72,128,2024-10-25 01:41:05.290821,2024-10-25 01:54:08.945621,1567.2425280000002,1683.4221599999998,1638.52635,64000
117,ivf,72,256,2024-10-25 01:59:14.537921,2024-10-25 02:18:17.039432,3038.5019920212762,3189.41,3135.44575,96256
118,ivf,72,512,2024-10-25 02:28:28.635388,2024-10-25 02:47:31.681180,6079.961664893617,6301.27107,6207.58665,96256
119,ivf,72,1024,2024-10-25 03:07:29.904692,2024-10-25 03:26:20.372477,12026.184521276595,12327.97926,12224.59865,96256
120,ivf,80,8,2024-10-19 22:36:58.618770,2024-10-19 22:39:34.776664,312.268044,803.81778,412.5557999999998,4000
121,ivf,80,16,2024-10-19 22:40:04.084424,2024-10-19 22:42:35.445831,302.67263800000006,381.01597999999984,343.45245,8000
122,ivf,80,32,2024-10-19 22:43:13.608218,2024-10-19 22:46:36.566156,405.853774,545.2684099999996,455.79769999999996,16000
123,ivf,80,64,2024-10-19 22:47:45.480882,2024-10-19 22:53:47.139078,723.251032,789.80518,766.0035,32000
124,ivf,80,128,2024-10-19 22:56:07.519944,2024-10-19 23:08:13.484163,1451.8625720000002,1555.6250599999998,1517.5519499999998,64000
125,ivf,80,256,2024-10-19 23:12:54.740589,2024-10-19 23:30:23.440905,2789.0266781914893,2908.8825,2878.1045,96256
126,ivf,80,512,2024-10-19 23:39:35.333381,2024-10-19 23:57:00.653056,5560.140734042554,5725.554840000001,5671.953299999999,96256
127,ivf,80,1024,2024-10-20 00:15:13.140842,2024-10-20 00:32:21.041219,10935.044031914893,11159.81145,11095.523799999999,96256
144,ivf,88,8,2024-10-24 20:14:01.158805,2024-10-24 20:16:36.929087,311.495466,501.2734799999998,398.44534999999996,4000
145,ivf,88,16,2024-10-24 20:17:07.195296,2024-10-24 20:19:43.395683,312.34031999999996,396.14107,353.51095,8000
146,ivf,88,32,2024-10-24 20:20:23.407412,2024-10-24 20:23:50.890600,414.919956,496.78862,463.35384999999997,16000
147,ivf,88,64,2024-10-24 20:25:00.213621,2024-10-24 20:30:58.752341,717.0241139999999,783.29543,763.6356,32000
148,ivf,88,128,2024-10-24 20:33:19.545042,2024-10-24 20:45:01.207568,1403.27702,1503.27403,1474.3435499999998,64000
149,ivf,88,256,2024-10-24 20:49:24.815721,2024-10-24 21:05:55.416495,2634.5266914893614,2744.3425,2715.378,96256
150,ivf,88,512,2024-10-24 21:14:43.009551,2024-10-24 21:31:15.052135,5276.774627659574,5432.18966,5406.4393,96256
151,ivf,88,1024,2024-10-24 21:48:31.197987,2024-10-24 22:04:44.603253,10355.322319148936,10598.70501,10532.922499999999,96256
32,ivf,96,8,2024-10-28 03:35:58.115961,2024-10-28 03:38:35.124224,313.958326,664.6091799999999,439.46899999999994,4000
33,ivf,96,16,2024-10-28 03:39:04.228478,2024-10-28 03:41:35.085115,301.656908,381.77354999999994,340.4415499999999,8000
34,ivf,96,32,2024-10-28 03:42:11.517480,2024-10-28 03:45:32.953012,402.813082,472.43177,439.57514999999995,16000
35,ivf,96,64,2024-10-28 03:46:38.529194,2024-10-28 03:52:35.707632,714.2917279999999,788.8616699999999,757.7647499999999,32000
36,ivf,96,128,2024-10-28 03:54:49.021358,2024-10-28 04:06:00.016381,1341.925662,1427.7986999999998,1401.7729,64000
37,ivf,96,256,2024-10-28 04:10:14.898017,2024-10-28 04:26:15.798674,2555.523340425532,2673.18675,2636.8435,96256
38,ivf,96,512,2024-10-28 04:34:37.478063,2024-10-28 04:50:19.661371,5011.549861702128,5174.01096,5126.02935,96256
39,ivf,96,1024,2024-10-28 05:06:48.314044,2024-10-28 05:22:16.666646,9876.028106382979,10057.560290000001,10039.380449999999,96256
